post_id,platform,content_format,content_genre,caption,locality,age_group,post_date,views,likes,shares,comments,trending
CHN00074,twitter,thread,food,Really disappointed with the new menu changes here,Adyar,35-50,2023-01-31,3155,230,106,43,False
CHN00075,youtube,video,education,Online courses are getting too expensive for what they offer,Porur,35-50,2024-06-06,3251,291,186,40,False
CHN00076,youtube,live,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Perambur,35-50,2023-08-25,56809,6300,3351,1683,False
CHN00077,instagram,reel,fashion,This look is absolutely stunning — turning heads everywhere,T Nagar,50+,2023-04-20,24809,2910,1223,275,False
CHN00078,youtube,video,fitness,Trying a new workout split this month — tracking progress,Chromepet,25-34,2023-10-13,146457,17024,5757,2535,False
CHN00079,instagram,story,fitness,This workout routine completely transformed my energy levels,T Nagar,35-50,2024-04-28,44960,6401,2305,1114,False
CHN00080,youtube,live,fashion,"Trying out a new aesthetic this week, let me know thoughts",Velachery,25-34,2024-08-01,141287,17104,2160,2494,False
CHN00081,youtube,short,food,Tried the new place in T Nagar — completely worth the hype!,T Nagar,35-50,2023-11-25,43942,5880,1763,1018,False
CHN00082,instagram,story,education,Currently studying for my upcoming exam — wish me luck,T Nagar,50+,2023-02-27,19205,2777,778,96,False
CHN00083,youtube,live,finance,Lost money following random stock tips online. Lesson learnt.,T Nagar,25-34,2023-04-19,129713,14051,2955,1830,False
CHN00084,tiktok,duet,education,This tutorial was completely wrong and wasted my time,Nungambakkam,18-24,2024-06-23,37486,2987,1682,438,False
CHN00085,instagram,carousel,food,Really disappointed with the new menu changes here,Chromepet,18-24,2024-09-07,47187,5930,1107,1282,False
CHN00086,tiktok,video,fashion,"Trying out a new aesthetic this week, let me know thoughts",Velachery,25-34,2023-04-14,96046,5626,2826,1545,False
CHN00087,instagram,story,technology,Another overpriced gadget that breaks in 3 months. Tired.,Tambaram,25-34,2024-05-18,46697,4550,480,325,False
CHN00088,tiktok,duet,entertainment,Best Tamil film of the year without any question 🌟,OMR,25-34,2024-10-22,6322,869,279,167,False
CHN00089,instagram,story,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Tambaram,18-24,2024-07-20,6882,694,373,187,False
CHN00090,instagram,reel,finance,Lost money following random stock tips online. Lesson learnt.,Anna Nagar,18-24,2024-02-19,16516,1644,683,233,False
CHN00091,youtube,live,fashion,This look is absolutely stunning — turning heads everywhere,OMR,18-24,2024-03-10,90506,10674,2426,1196,False
CHN00092,instagram,story,travel,Pondicherry weekend trip was absolutely magical 🌊,T Nagar,13-17,2024-12-29,11697,1407,394,189,False
CHN00093,tiktok,video,food,Best filter coffee in Chennai — no debate needed ☕,Nungambakkam,18-24,2023-03-09,82718,3238,3857,1689,False
CHN00094,instagram,reel,food,Really disappointed with the new menu changes here,Chromepet,35-50,2024-12-01,44635,6475,1815,515,False
CHN00095,tiktok,duet,food,Overpriced and underwhelming — will not be returning,OMR,50+,2024-02-13,53204,3605,1823,901,False
CHN00096,youtube,video,travel,Road trip highlights from last weekend — part one,Chromepet,18-24,2023-07-18,194609,11770,11502,5755,True
CHN00097,youtube,live,food,Tried the new place in T Nagar — completely worth the hype!,T Nagar,25-34,2024-09-11,60949,3792,2603,1117,False
CHN00098,youtube,video,technology,Review of this device after 30 days of usage,OMR,13-17,2024-05-14,189467,12613,3617,1354,True
CHN00099,twitter,thread,education,Book review coming soon — interesting read so far,Anna Nagar,50+,2023-10-03,6552,253,344,67,False
CHN00100,instagram,reel,finance,Lost money following random stock tips online. Lesson learnt.,Tambaram,35-50,2023-11-01,33812,2686,716,957,False
CHN00101,tiktok,stitch,fitness,Hit a new personal best today — months of hard work paid off!,Anna Nagar,18-24,2023-03-25,48361,1870,840,330,False
CHN00102,instagram,post,entertainment,Finished the series — mixed feelings overall honestly,Chromepet,50+,2024-10-07,48155,5533,1595,1211,False
CHN00103,instagram,carousel,food,Simple home cooked meal today — nothing fancy,Anna Nagar,50+,2024-01-19,38531,2613,607,295,False
CHN00104,youtube,live,education,Book review coming soon — interesting read so far,T Nagar,35-50,2023-11-28,120833,11057,4616,2096,False
CHN00105,instagram,reel,education,Just completed my Python certification — so proud! 🎓,Porur,18-24,2023-01-21,31065,4031,544,185,False
CHN00106,instagram,carousel,technology,This new phone camera is absolutely incredible 📱,Nungambakkam,25-34,2023-08-30,8752,1109,242,184,False
CHN00107,tiktok,video,technology,Privacy concerns with this app are genuinely worrying,Perambur,35-50,2023-07-23,71649,8531,3476,1253,False
CHN00108,tiktok,video,fashion,Not sure about this trend honestly — feels overdone,T Nagar,18-24,2023-05-29,88122,13173,2153,769,False
CHN00109,instagram,carousel,food,Overpriced and underwhelming — will not be returning,OMR,18-24,2024-03-03,32814,1039,1406,463,False
CHN00110,tiktok,duet,travel,This hidden beach near Chennai is a total paradise!,OMR,25-34,2024-09-15,66782,9761,3182,1688,False
CHN00111,instagram,post,fashion,Finally found the perfect fit for my style 🔥,Porur,25-34,2023-04-19,19699,1942,446,210,False
CHN00112,instagram,story,entertainment,New episode drops tonight — no spoilers in comments please,Chromepet,50+,2023-12-07,17640,2599,1053,333,False
CHN00113,instagram,carousel,technology,Just upgraded my setup — productivity through the roof!,Velachery,25-34,2023-04-22,7543,1130,176,99,False
CHN00114,youtube,video,technology,Just upgraded my setup — productivity through the roof!,T Nagar,25-34,2024-10-15,105697,5668,3238,1130,False
CHN00115,instagram,reel,food,This biryani from Murugan Idli Shop is absolutely divine! 😍,Chromepet,13-17,2023-02-17,22295,2543,1033,636,False
CHN00116,instagram,story,fitness,Gym was packed and equipment broken — worst experience,Adyar,18-24,2023-10-03,39469,2789,684,742,False
CHN00117,tiktok,duet,technology,Unboxing the new laptop today — first impressions coming,Chromepet,25-34,2024-02-21,13974,426,785,109,False
CHN00118,tiktok,video,finance,Comparing different investment options this week,OMR,18-24,2023-08-11,28453,1434,1368,692,False
CHN00119,instagram,reel,fitness,Rest day today — recovery is just as important as training,T Nagar,35-50,2023-01-21,1230,156,34,9,False
CHN00120,youtube,short,entertainment,Laughed so hard at this show — highly recommend binging,OMR,35-50,2024-01-02,146506,7706,4035,4140,False
CHN00121,twitter,thread,fashion,Obsessed with this new outfit drop! Love the vibes ✨,T Nagar,18-24,2024-06-22,1010,127,38,5,False
CHN00122,youtube,short,finance,Crypto market is a complete disaster right now. Stressed.,Adyar,35-50,2023-04-06,192012,6735,8002,2153,True
CHN00123,tiktok,duet,food,The service was terrible and food arrived cold. Avoid.,Chromepet,25-34,2024-03-01,88938,3461,5235,2320,False
CHN00124,twitter,tweet,food,"Exploring new cafes this weekend, stay tuned",Porur,50+,2023-11-02,1049,89,36,5,False
CHN00125,instagram,post,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Velachery,35-50,2024-04-13,46552,3160,1847,984,False
CHN00126,instagram,reel,fashion,Not sure about this trend honestly — feels overdone,T Nagar,18-24,2023-12-16,16477,1886,443,210,False
CHN00127,instagram,post,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Chromepet,35-50,2023-11-12,44911,3885,2510,659,False
CHN00128,instagram,reel,food,This biryani from Murugan Idli Shop is absolutely divine! 😍,T Nagar,18-24,2023-10-07,1718,209,34,47,False
CHN00129,instagram,story,education,Book review coming soon — interesting read so far,Chromepet,13-17,2023-07-31,40494,4407,1887,562,False
CHN00130,youtube,live,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Perambur,35-50,2024-10-12,74401,8573,1173,1128,False
CHN00131,youtube,video,education,This course completely changed how I think about data,OMR,35-50,2023-04-22,81399,12205,4213,2225,False
CHN00132,tiktok,stitch,fashion,This look is absolutely stunning — turning heads everywhere,Tambaram,50+,2024-12-18,10404,1169,490,98,False
CHN00133,twitter,reply,travel,Ooty in monsoon season is breathtakingly beautiful ☁️,Perambur,35-50,2024-04-13,4327,640,102,43,False
CHN00134,tiktok,duet,entertainment,Total waste of time — worst screenplay I have seen,OMR,25-34,2024-12-04,92665,8089,3218,1598,False
CHN00135,tiktok,stitch,education,This course completely changed how I think about data,Velachery,50+,2024-12-30,90622,10603,5278,1043,False
CHN00136,youtube,live,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Porur,25-34,2023-08-09,5123,307,240,128,False
CHN00137,youtube,live,finance,Just made my first profitable investment — so exciting! 📈,OMR,25-34,2024-09-08,70506,7470,891,780,False
CHN00138,youtube,short,finance,Financial freedom is possible with the right discipline,T Nagar,18-24,2023-08-26,100851,13682,2658,1234,False
CHN00139,youtube,short,finance,Banks keep adding hidden charges — absolutely infuriating,T Nagar,50+,2024-12-02,187175,25038,6040,4277,True
CHN00140,youtube,live,food,Overpriced and underwhelming — will not be returning,Nungambakkam,25-34,2023-08-30,26301,2712,382,443,False
CHN00141,instagram,story,technology,Privacy concerns with this app are genuinely worrying,Adyar,18-24,2024-10-09,47630,2702,2259,758,False
CHN00142,tiktok,duet,fashion,This collection is disappointing compared to last season,Tambaram,13-17,2024-06-13,41379,3481,445,648,False
CHN00143,tiktok,stitch,food,Tried the new place in T Nagar — completely worth the hype!,Adyar,35-50,2023-07-14,49657,7178,815,1114,False
CHN00144,instagram,carousel,food,The service was terrible and food arrived cold. Avoid.,T Nagar,18-24,2024-12-27,29062,3626,1244,587,False
CHN00145,youtube,video,finance,Banks keep adding hidden charges — absolutely infuriating,Anna Nagar,18-24,2024-02-02,56715,4751,3225,1328,False
CHN00146,twitter,thread,fashion,Obsessed with this new outfit drop! Love the vibes ✨,OMR,25-34,2023-09-24,6155,308,282,146,False
CHN00147,tiktok,video,technology,Just upgraded my setup — productivity through the roof!,Adyar,35-50,2024-08-06,41225,2839,1811,786,False
CHN00148,instagram,post,fitness,Gym was packed and equipment broken — worst experience,Chromepet,35-50,2023-01-22,29511,3581,1752,153,False
CHN00149,instagram,post,food,Tried the new place in T Nagar — completely worth the hype!,Porur,25-34,2024-07-31,47845,6980,498,1291,False
CHN00150,instagram,story,travel,Ooty in monsoon season is breathtakingly beautiful ☁️,Adyar,18-24,2024-10-14,43300,4404,2163,360,False
CHN00151,twitter,thread,fitness,Injured again because of bad form advice online. Frustrated.,Nungambakkam,18-24,2023-04-06,7968,883,82,134,False
CHN00152,instagram,carousel,technology,AI tools are changing everything about how I work 🚀,Velachery,25-34,2023-10-21,28467,3875,1247,384,False
CHN00153,youtube,live,entertainment,So disappointed by the ending — ruined the whole series,Velachery,35-50,2023-07-25,155525,16743,8689,3420,False
CHN00154,twitter,reply,travel,Pondicherry weekend trip was absolutely magical 🌊,T Nagar,25-34,2024-05-08,572,18,29,7,False
CHN00155,instagram,reel,food,The service was terrible and food arrived cold. Avoid.,T Nagar,35-50,2024-03-20,20144,1980,614,197,False
CHN00156,tiktok,duet,travel,This hidden beach near Chennai is a total paradise!,T Nagar,25-34,2024-06-19,9262,1247,196,156,False
CHN00157,instagram,reel,fashion,This look is absolutely stunning — turning heads everywhere,Tambaram,18-24,2023-10-16,15377,1073,633,394,False
CHN00158,tiktok,duet,technology,AI tools are changing everything about how I work 🚀,T Nagar,18-24,2024-09-20,3335,195,176,93,False
CHN00159,youtube,live,fashion,This collection is disappointing compared to last season,Nungambakkam,18-24,2024-01-18,16489,1286,640,434,False
CHN00160,youtube,live,food,Overpriced and underwhelming — will not be returning,Anna Nagar,25-34,2023-01-18,142545,14821,2754,1344,False
CHN00161,youtube,video,food,Really disappointed with the new menu changes here,T Nagar,13-17,2023-06-14,98847,5142,3087,1462,False
CHN00162,youtube,live,fashion,This collection is disappointing compared to last season,Tambaram,35-50,2023-03-03,193743,20937,3997,2783,True
CHN00163,youtube,short,finance,Comparing different investment options this week,Chromepet,25-34,2023-04-02,147836,8000,7318,3635,False
CHN00164,instagram,reel,technology,This new phone camera is absolutely incredible 📱,OMR,35-50,2024-11-26,49220,5869,1791,752,False
CHN00165,tiktok,duet,food,Simple home cooked meal today — nothing fancy,Velachery,35-50,2024-05-15,92779,6951,2189,668,False
CHN00166,instagram,reel,food,This biryani from Murugan Idli Shop is absolutely divine! 😍,Tambaram,25-34,2024-10-10,37314,3722,1837,460,False
CHN00167,instagram,story,fitness,Injured again because of bad form advice online. Frustrated.,Velachery,18-24,2024-07-16,28446,3317,1437,435,False
CHN00168,tiktok,video,fitness,Fitness influencers selling unrealistic body standards. Stop.,T Nagar,35-50,2024-03-22,51317,2108,2863,1255,False
CHN00169,youtube,live,fashion,"Trying out a new aesthetic this week, let me know thoughts",T Nagar,18-24,2024-04-14,20984,3107,687,293,False
CHN00170,instagram,reel,fashion,Neutral look today — just keeping it simple and clean,OMR,35-50,2023-11-27,45537,4245,1715,1260,False
CHN00171,instagram,reel,fashion,This look is absolutely stunning — turning heads everywhere,Nungambakkam,35-50,2023-07-18,38421,1546,1237,1007,False
CHN00172,twitter,reply,fitness,This workout routine completely transformed my energy levels,Nungambakkam,25-34,2023-06-14,5817,476,132,157,False
CHN00173,tiktok,duet,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Porur,35-50,2023-05-16,11607,420,320,182,False
CHN00174,youtube,short,travel,This hidden beach near Chennai is a total paradise!,Anna Nagar,25-34,2023-05-27,199453,28986,3857,2748,True
CHN00175,youtube,video,entertainment,Laughed so hard at this show — highly recommend binging,Adyar,25-34,2023-12-26,151250,6258,4135,894,False
CHN00176,twitter,thread,technology,Tech companies keep promising and underdelivering. Annoyed.,Velachery,35-50,2023-09-01,7115,1033,136,90,False
CHN00177,youtube,short,fashion,Obsessed with this new outfit drop! Love the vibes ✨,T Nagar,25-34,2024-09-25,92150,10359,3037,1763,False
CHN00178,youtube,live,food,Overpriced and underwhelming — will not be returning,Chromepet,25-34,2024-10-26,65005,2217,3843,1731,False
CHN00179,instagram,reel,entertainment,Total waste of time — worst screenplay I have seen,Porur,18-24,2023-09-21,39049,4727,567,697,False
CHN00180,instagram,carousel,education,Education system needs serious reform — very concerning,Tambaram,18-24,2023-08-27,37063,2289,781,809,False
CHN00181,twitter,tweet,fitness,This workout routine completely transformed my energy levels,Chromepet,35-50,2024-08-08,2206,122,83,54,False
CHN00182,instagram,story,travel,This hidden beach near Chennai is a total paradise!,Chromepet,35-50,2023-04-16,27692,1493,640,654,False
CHN00183,instagram,reel,travel,Planning a solo trip next month — any suggestions?,Porur,18-24,2024-09-19,48848,6763,596,638,False
CHN00184,twitter,reply,technology,AI tools are changing everything about how I work 🚀,Tambaram,18-24,2024-05-11,8874,721,324,243,False
CHN00185,instagram,carousel,food,Really disappointed with the new menu changes here,Chromepet,35-50,2023-01-09,9274,1047,359,87,False
CHN00186,instagram,post,fitness,Gym was packed and equipment broken — worst experience,OMR,18-24,2023-03-30,36788,4191,1720,451,False
CHN00187,instagram,reel,fashion,Finally found the perfect fit for my style 🔥,Nungambakkam,18-24,2023-10-19,12690,710,216,228,False
CHN00188,tiktok,video,technology,Unboxing the new laptop today — first impressions coming,Perambur,13-17,2023-08-20,6177,798,314,172,False
CHN00189,instagram,story,fashion,"Trying out a new aesthetic this week, let me know thoughts",T Nagar,35-50,2023-02-07,43221,5896,1320,617,False
CHN00190,youtube,short,finance,Lost money following random stock tips online. Lesson learnt.,T Nagar,25-34,2024-02-05,29491,4065,1170,300,False
CHN00191,instagram,post,finance,Banks keep adding hidden charges — absolutely infuriating,OMR,18-24,2024-03-01,1473,196,43,26,False
CHN00192,instagram,story,technology,Another overpriced gadget that breaks in 3 months. Tired.,Velachery,18-24,2024-12-31,23640,2316,1009,300,False
CHN00193,instagram,story,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Nungambakkam,25-34,2023-05-15,7982,423,346,154,False
CHN00194,youtube,short,finance,Monthly budget review — transparent breakdown coming up,OMR,25-34,2024-06-13,147672,11671,1865,2770,False
CHN00195,twitter,tweet,fitness,Fitness influencers selling unrealistic body standards. Stop.,OMR,50+,2023-07-18,6431,678,280,66,False
CHN00196,instagram,post,food,The service was terrible and food arrived cold. Avoid.,Anna Nagar,18-24,2023-01-11,41923,2847,2019,232,False
CHN00197,tiktok,stitch,technology,Unboxing the new laptop today — first impressions coming,Porur,35-50,2023-05-19,14582,1041,246,436,False
CHN00198,twitter,tweet,technology,Privacy concerns with this app are genuinely worrying,Nungambakkam,18-24,2023-10-10,4868,548,114,125,False
CHN00199,instagram,post,education,This course completely changed how I think about data,Velachery,35-50,2024-01-20,47659,5177,1640,401,False
CHN00200,twitter,reply,education,Learning something new every single day — growth mindset 💡,Velachery,25-34,2023-08-21,4133,186,139,98,False
CHN00201,youtube,video,fashion,This collection is disappointing compared to last season,Adyar,50+,2023-12-19,87348,7218,949,2607,False
CHN00202,instagram,carousel,fashion,This look is absolutely stunning — turning heads everywhere,Anna Nagar,35-50,2023-04-17,46180,3496,1402,790,False
CHN00203,instagram,post,fitness,Injured again because of bad form advice online. Frustrated.,Velachery,18-24,2024-07-11,8765,490,138,153,False
CHN00204,youtube,live,fashion,Neutral look today — just keeping it simple and clean,OMR,35-50,2024-04-27,199963,15296,8722,3443,True
CHN00205,tiktok,duet,food,Best filter coffee in Chennai — no debate needed ☕,Anna Nagar,35-50,2024-12-15,43464,3532,2117,728,False
CHN00206,tiktok,duet,fitness,Gym was packed and equipment broken — worst experience,Porur,25-34,2024-04-06,36895,5009,576,633,False
CHN00207,youtube,live,fashion,Obsessed with this new outfit drop! Love the vibes ✨,Anna Nagar,18-24,2023-05-27,162431,16354,6088,1129,True
CHN00208,tiktok,video,food,Simple home cooked meal today — nothing fancy,Adyar,13-17,2024-06-30,18399,1306,1066,459,False
CHN00209,instagram,post,food,Overpriced and underwhelming — will not be returning,Perambur,35-50,2024-11-08,20122,2712,662,182,False
CHN00210,youtube,video,fitness,Rest day today — recovery is just as important as training,Tambaram,50+,2024-09-09,61399,4324,956,739,False
CHN00211,instagram,post,technology,Privacy concerns with this app are genuinely worrying,Adyar,35-50,2023-05-04,6540,225,333,50,False
CHN00212,instagram,post,education,This course completely changed how I think about data,Tambaram,50+,2024-08-10,35838,2963,874,315,False
CHN00213,tiktok,stitch,fitness,Fitness influencers selling unrealistic body standards. Stop.,Velachery,25-34,2024-12-15,61089,3901,2368,993,False
CHN00214,tiktok,duet,education,Currently studying for my upcoming exam — wish me luck,T Nagar,25-34,2023-06-29,56956,3320,716,1703,False
CHN00215,tiktok,stitch,fashion,Neutral look today — just keeping it simple and clean,Velachery,35-50,2023-03-17,9299,1000,544,126,False
